step  Time    model_rna1        model_rna2        model_rna3        model_protein1        model_protein2        model_protein3        target_rna1        target_rna2        target_rna3        target_protein1        target_protein2        target_protein3        
89   89    26.184999   10.535000   2.710000   48.299999   15.583000   2.470000   29.896999   11.040600   1.551000   49.992001   18.379801   2.608400   
90   90    26.118999   10.811000   2.778000   48.345001   15.485000   2.460000   29.865000   11.007000   1.539000   49.985401   18.335600   2.609000   
91   91    26.194000   11.000000   2.737000   48.617001   15.568000   2.469000   29.875000   10.974800   1.508400   49.844601   18.409800   2.571200   
92   92    26.072001   10.788000   2.809000   48.143002   15.866000   2.381000   29.943399   10.981200   1.536800   49.800598   18.381399   2.548800   
93   93    26.046000   10.688000   2.735000   48.160000   15.647000   2.377000   29.893000   10.992000   1.543800   49.650799   18.377199   2.546200   
94   94    26.021000   10.594000   2.714000   47.790001   15.482000   2.476000   29.965000   11.027200   1.547800   49.778599   18.308201   2.548000   
95   95    26.087999   10.731000   2.668000   47.673000   15.305000   2.417000   29.949600   11.074800   1.535600   49.903801   18.247999   2.526800   
96   96    26.193001   10.733000   2.605000   47.994999   15.344000   2.325000   29.947800   11.132200   1.535400   49.731800   18.352200   2.531600   
97   97    26.212999   10.815000   2.629000   47.995998   15.426000   2.336000   29.942400   11.132600   1.523600   49.637600   18.437201   2.524800   
98   98    26.047001   10.580000   2.665000   48.229000   15.658000   2.289000   29.905399   11.134400   1.544000   49.701199   18.552601   2.523800   
99   99    26.198999   10.880000   2.653000   48.051998   15.483000   2.354000   29.930599   11.128200   1.552800   49.844002   18.525801   2.534000   
100   100    26.044001   10.788000   2.691000   47.894001   15.689000   2.407000   29.992001   11.129000   1.544000   49.667999   18.643200   2.529000   
101   101    26.018000   10.914000   2.703000   48.009998   15.800000   2.339000   30.011999   11.131000   1.554000   49.760601   18.597401   2.573000   
102   102    25.968000   10.650000   2.797000   47.993000   15.670000   2.426000   30.071400   11.135800   1.551400   49.798000   18.656000   2.587400   
103   103    26.010000   10.725000   2.829000   47.820000   15.616000   2.511000   29.984600   11.123600   1.554800   49.840401   18.646400   2.602000   
104   104    26.238001   10.874000   2.822000   48.165001   15.625000   2.564000   29.993200   11.049400   1.543600   49.841000   18.538200   2.596200   
105   105    26.031000   10.873000   2.870000   48.209999   15.538000   2.501000   29.987200   11.076400   1.548000   49.859200   18.470800   2.565800   
106   106    26.216999   10.715000   2.910000   48.292999   15.532000   2.603000   30.005400   11.049400   1.551400   49.803200   18.444599   2.580600   
107   107    25.958000   10.747000   2.992000   48.076000   15.450000   2.654000   30.024401   11.062000   1.518800   49.734798   18.433001   2.567200   
108   108    26.107000   10.724000   2.984000   47.835999   15.642000   2.690000   29.990999   11.050600   1.500600   49.932400   18.462999   2.546600   
109   109    26.063999   10.802000   3.034000   47.900002   15.566000   2.665000   29.990400   11.066600   1.507000   49.974201   18.423599   2.531800   
110   110    25.997000   10.732000   3.070000   47.877998   15.453000   2.724000   30.013599   11.049400   1.516800   49.906200   18.469601   2.534000   
111   111    26.091000   10.771000   3.006000   48.185001   15.712000   2.668000   30.010799   11.085800   1.510200   49.919601   18.488600   2.506400   
112   112    26.132999   10.785000   2.922000   48.084999   15.429000   2.575000   29.992201   11.059400   1.509000   49.889801   18.479200   2.521400   
113   113    25.996000   10.705000   2.995000   48.185001   15.556000   2.610000   29.935400   11.080200   1.504600   49.848202   18.440399   2.501600   
114   114    26.028000   10.810000   3.079000   48.105000   15.582000   2.732000   29.914200   11.067000   1.523200   49.852600   18.457399   2.524600   
115   115    25.802000   10.718000   3.126000   47.790001   15.511000   2.720000   29.915001   11.088400   1.509200   49.957199   18.375601   2.548800   
116   116    25.840000   10.864000   3.088000   47.612000   15.497000   2.805000   29.930799   11.083400   1.514200   49.925598   18.444599   2.516400   
117   117    25.988001   10.822000   3.197000   47.245998   15.659000   2.776000   29.913601   11.081200   1.510000   49.762600   18.433599   2.509000   
118   118    26.062000   10.649000   3.280000   47.688000   15.413000   2.904000   29.912001   11.043400   1.509800   49.875198   18.385599   2.504200   
