time rna1_[0,0]_mean rna1_[0,0]_sd rna1_[0,0]_ci rna2_[0,0]_mean rna2_[0,0]_sd rna2_[0,0]_ci rna3_[0,0]_mean rna3_[0,0]_sd rna3_[0,0]_ci protein1_[0,0]_mean protein1_[0,0]_sd protein1_[0,0]_ci protein2_[0,0]_mean protein2_[0,0]_sd protein2_[0,0]_ci protein3_[0,0]_mean protein3_[0,0]_sd protein3_[0,0]_ci
55.000000 26.469000 5.094211 0.316120 10.749000 3.233335 0.200644 3.092000 6.855548 0.425419 48.222000 10.344067 0.641898 15.508000 5.018677 0.311432 2.591000 5.924594 0.367649
56.000000 26.318000 5.182638 0.321607 10.769000 3.309772 0.205387 3.093000 6.877765 0.426798 48.526000 10.366716 0.643303 15.687000 4.996999 0.310087 2.704000 6.288078 0.390205
57.000000 26.359000 5.147292 0.319414 10.694000 3.251605 0.201777 3.164000 7.058252 0.437998 48.459000 10.476644 0.650125 15.520000 4.946723 0.306967 2.766000 6.318953 0.392121
58.000000 26.257000 5.260478 0.326437 10.788000 3.256941 0.202108 3.160000 6.938338 0.430556 48.522000 10.861284 0.673994 15.468000 4.859279 0.301541 2.821000 6.438199 0.399520
59.000000 26.174000 5.280114 0.327656 10.609000 3.288607 0.204073 3.217000 7.038427 0.436767 48.616000 10.855154 0.673613 15.474000 4.773480 0.296217 2.869000 6.504625 0.403642
60.000000 26.016000 5.339124 0.331318 10.681000 3.284513 0.203819 3.259000 7.026756 0.436043 48.599000 10.995048 0.682294 15.588000 4.939297 0.306507 2.789000 6.196037 0.384493
61.000000 26.137000 5.198775 0.322608 10.674000 3.162867 0.196271 3.274000 7.112631 0.441372 48.040000 10.983672 0.681588 15.357000 4.933142 0.306125 2.890000 6.418185 0.398278
62.000000 26.165000 5.109196 0.317050 10.664000 3.217057 0.199633 3.263000 7.125911 0.442196 47.759000 10.470365 0.649735 15.208000 4.852451 0.301117 2.981000 6.666865 0.413710
63.000000 25.977000 5.072889 0.314797 10.650000 3.245926 0.201425 3.294000 7.219812 0.448023 47.923000 10.560521 0.655330 15.278000 4.886983 0.303260 2.863000 6.431142 0.399083
64.000000 25.857000 5.130192 0.318352 10.868000 3.152541 0.195630 3.187000 7.051791 0.437597 47.782000 10.656173 0.661265 15.486000 4.786723 0.297039 2.843000 6.370316 0.395308
65.000000 25.935000 5.179537 0.321415 10.792000 3.089382 0.191711 3.141000 6.975513 0.432863 47.967000 10.746227 0.666854 15.742000 4.836613 0.300135 2.862000 6.482668 0.402280
66.000000 26.045000 5.155342 0.319913 10.845000 3.271954 0.203040 3.093000 6.898691 0.428096 47.961000 10.929910 0.678252 15.626000 4.947990 0.307046 2.788000 6.402034 0.397276
67.000000 26.034000 5.023951 0.311760 10.823000 3.367047 0.208941 3.009000 6.804794 0.422269 47.796000 10.921340 0.677720 15.786000 5.236184 0.324930 2.666000 6.197488 0.384583
68.000000 25.975000 5.130955 0.318400 10.660000 3.283776 0.203774 2.927000 6.694213 0.415407 47.916000 10.580212 0.656552 15.400000 4.965547 0.308135 2.585000 6.074675 0.376962
69.000000 25.940000 5.055488 0.313717 10.758000 3.293977 0.204407 2.931000 6.714412 0.416661 47.673000 10.610403 0.658425 15.463000 5.034081 0.312388 2.588000 6.042745 0.374981
70.000000 25.906000 5.017404 0.311353 10.835000 3.283680 0.203768 2.887000 6.686474 0.414927 47.720000 10.750683 0.667130 15.580000 4.971752 0.308521 2.628000 6.166493 0.382660
71.000000 26.070000 5.168928 0.320756 10.838000 3.230510 0.200468 2.822000 6.535674 0.405569 47.920000 10.751334 0.667171 15.447000 4.892968 0.303632 2.579000 6.093841 0.378151
72.000000 26.169000 5.214176 0.323564 10.788000 3.334693 0.206933 2.824000 6.602774 0.409733 47.947000 10.843605 0.672897 15.576000 5.038413 0.312657 2.567000 6.195958 0.384488
